farmer_id,full_name,gender,age,phone_number_masked,district_id,state,district,village,land_owned_hectares,preferred_language,registration_date
FARM_USR0001,Sunil Naidu,Male,63,91XXXXX156,DIST003,Punjab,Bathinda,Chandpur,7.05,English,2024-01-10
FARM_USR0002,Nirmala Pillai,Male,35,91XXXXX662,DIST003,Punjab,Bathinda,Narayanpur,1.26,Bengali,2023-03-13
FARM_USR0003,Geeta Mandal,Male,25,99XXXXX707,DIST019,Gujarat,Rajkot,Shivpur,1.87,Marathi,2024-10-07
FARM_USR0004,Suresh Naidu,Male,25,93XXXXX804,DIST002,Punjab,Amritsar,Sitapur,2.52,Punjabi,2023-10-24
FARM_USR0005,Geeta Patel,Male,58,94XXXXX838,DIST018,Maharashtra,Nagpur,Chandpur,0.97,Punjabi,2023-04-16
FARM_USR0006,Anita Nair,Male,45,92XXXXX284,DIST018,Maharashtra,Nagpur,Hanumangarh,1.83,English,2024-07-31
FARM_USR0007,Rakesh Chowdhury,Male,65,96XXXXX264,DIST014,Madhya Pradesh,Bhopal,Anandpur,1.82,Tamil,2024-04-21
FARM_USR0008,Naresh Rao,Male,41,93XXXXX013,DIST026,Andhra Pradesh,Krishna,Krishnapura,0.45,Marathi,2023-03-25
FARM_USR0009,Sunita Chowdhury,Male,43,98XXXXX912,DIST015,Madhya Pradesh,Ujjain,Lakshmipuram,4.11,English,2023-05-01
FARM_USR0010,Vijay Chauhan,Male,31,96XXXXX128,DIST014,Madhya Pradesh,Bhopal,Rampur,2.95,English,2025-02-21
FARM_USR0011,Radha Chauhan,Male,43,98XXXXX715,DIST012,West Bengal,Nadia,Ramnagar,1.1,Gujarati,2024-08-16
FARM_USR0012,Mahesh Sharma,Male,39,96XXXXX210,DIST023,Karnataka,Belagavi,Balrampur,1.59,English,2023-03-04
FARM_USR0013,Sanjay Das,Male,40,98XXXXX236,DIST013,Madhya Pradesh,Indore,Vishnupur,2.73,Tamil,2023-01-24
FARM_USR0014,Ashok Reddy,Female,61,92XXXXX654,DIST016,Maharashtra,Nashik,Rampur,1.48,Marathi,2025-02-25
FARM_USR0015,Sarita Verma,Male,47,95XXXXX047,DIST028,Tamil Nadu,Coimbatore,Devipur,1.5,English,2023-06-20
FARM_USR0016,Geeta Gupta,Male,30,99XXXXX030,DIST014,Madhya Pradesh,Bhopal,Chandpur,0.57,Telugu,2024-12-24
FARM_USR0017,Ashok Naidu,Male,36,92XXXXX095,DIST003,Punjab,Bathinda,Krishnapura,2.84,Punjabi,2023-08-26
FARM_USR0018,Ramesh Chowdhury,Male,59,92XXXXX171,DIST009,Bihar,Patna,Lakshmipuram,2.01,Hindi,2023-05-30
FARM_USR0019,Ashok Chauhan,Male,30,98XXXXX915,DIST028,Tamil Nadu,Coimbatore,Sitapur,2.27,Hindi,2024-04-12
FARM_USR0020,Lakshmi Naidu,Female,47,95XXXXX257,DIST013,Madhya Pradesh,Indore,Shivpur,0.54,Gujarati,2024-10-11
